variable_field_name,form_name,section_header,field_type,field_label,choices_calculations_or_slider_labels,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic_show_field_only_if,required_field,custom_alignment,question_number_surveys_only,matrix_group_name,matrix_ranking,field_annotation
education,demographics,NA,radio,What is the highest grade of school you've completed?,"1, No formal education completed | 2, 1st to 8th grade | 3, 9th to 11th grade | 4, GED (high school equivalent) | 5, High school diploma | 6, Some college/university | 7, College/university degree | -999, Decline to answer",NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
work,demographics,NA,dropdown,Which of the following best described your work situation in the past month?,"1, Full time (more than 30 hours) | 2, Part time (less than 30 hours) | 3, Paid leave (temporarily laid off, sick leave, parental leave) | 4, Seasonal worker | 5, Looking for work | 6, Not employed, not looking for work | 7, Retired | 8, Disability | 9, Housework | 10, Student | -999, Decline to answer",NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
income,demographics,NA,dropdown,"Last month, what was the total amount of money you and your family lived on, including public assistance (after taxes)?","1, Less than $200 | 2, $200-$499 | 3, $500-$999 | 4, $1,000-$1,999 | 5, $2,000-$2,999 | 6, $3,000-$3,999 | 7, $4,000-$4,999 | 8, $5,000-$5,999 | 9, $6,000 or more | -999, Decline to answer",NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
income_depend,demographics,NA,text,"How many people, including yourself, depend on this income?",NA,Type -999 to decline to answer,integer,1,NA,NA,NA,y,NA,NA,NA,NA,NA
insurance,demographics,NA,dropdown,What is your current primary insurance plan?,"1, ACA (Obama Care) | 2, Medicare only | 3, Medicaid only | 4, Medicare and Medicaid | 5, Medicare/HMO | 6, Medicaid/HMO | 7, PVT/HMO from work/Spouse | 8, Ryan White | 9, Uninsured | -999, Decline to answer",NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
born,demographics,NA,dropdown,Where were you born?,"1, United States | 2, Argentina | 3, Bahamas | 4, Bolivia | 5, Brazil | 6, Chile | 7, Colombia | 8, Costa Rica | 9, Cuba | 10, Dominican Republic | 11, Ecuador | 12, El Salvador | 13, Guatemala | 14, Haiti | 15, Honduras | 16, Jamaica | 17, Mexico | 18, Nicaragua | 19, Panama | 20, Paraguay | 21, Peru | 22, Puerto Rico | 23, Spain | 24, Trinidad and Tobago | 25, Uruguay | 26, Venezuela | 27, Other (specify) | -999, Decline to answer",NA,autocomplete,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
born_oth,demographics,NA,text,Please specify where you were born:,NA,Type -999 to decline to answer,NA,NA,NA,NA,[born] = 27,y,NA,NA,NA,NA,NA
citizenship,demographics,NA,dropdown,Which of the following best describes your current status in the U.S.? Please keep in mind that your answer is completely confidential.,"1, US Citizen | 2, Permanent resident | 3, Awaiting residency | 4, Without papers | 5, Student visa | 6, Dependent on someone else's visa (husband/wife/parent/guardian) | 7, Asylum | 8, Awaiting asylum | 9, Temporary resident | 10, Temporary work visa | 11, Tourist visa | 12, Expired visa | 13, Temporary protected immigrant (DACA/Dreamer) | 14, Other | -999, Decline to answer",NA,autocomplete,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
citizenship_oth,demographics,NA,text,"You selected ""Other"" citizenship status. Please describe:",NA,Type -999 to decline to answer,NA,NA,NA,NA,[citizenship] = 14,y,NA,NA,NA,NA,NA
lang_pref,demographics,NA,radio,What is your preferred language?,"1, English | 2, Spanish | 3, Indigenous language {lang_pref_indg} | 4, Other {lang_pref_oth} | -999, Decline to answer",NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
lang_pref_indg,demographics,NA,text,"Preferred language, indigenous specified",NA,NA,NA,NA,NA,NA,[lang_pref] = 3,y,NA,NA,NA,NA,@PLACEHOLDER='please specify'
lang_pref_oth,demographics,NA,text,"Preferred language, other specified",NA,NA,NA,NA,NA,NA,[lang_pref] = 4,y,NA,NA,NA,NA,@PLACEHOLDER='please specify'
latin_term,demographics,NA,checkbox,Which of the following terms do you use to describe your ethnicity (check all that apply)?,"1, Latino | 2, Latine | 3, Latinx | 4, Latina | 5, Hispanic | 6, Another term {latin_term_oth} | -999, Decline to answer",NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
latin_term_oth,demographics,NA,text,"Other latin term, specified",NA,NA,NA,NA,NA,NA,[latin_term(6)],y,NA,NA,NA,NA,@PLACEHOLDER = 'please specify'
relationship,demographics,NA,radio,What is your current relationship status?,"1, Single | 2, Dating casually | 3, Serious monogamous partnership | 4, Serious non-monogamous partnership | 5, Polyamorous relationship | 6, Married, monogamous (exclusive) | 7, Married, non-monogamous | -999, Decline to answer",NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
